"trait"	"term"	"estimate"	"std.error"	"statistic"	"p.value"	"model"
"CWM_LEDA_SLA"	"scale(LUI)"	0,241855892934057	0,121290541382068	1,99402105208027	0,0481062655358982	"Across"
"CWM_LEDA_SLA"	"scale(pH)"	-0,363053904073804	0,116079668993403	-3,12762697569749	0,00214697223352853	"Across"
"CWM_LEDA_SLA"	"scale(CN_ratio)"	-0,294047669079155	0,102648529890575	-2,86460672542136	0,00482367199624503	"Across"
"CWM_LEDA_SLA"	"scale(Resin_P_scaled_v)"	0,293040489344625	0,106066961428952	2,76278763336608	0,0065070858132359	"Across"
"CWM_LEDA_SLA"	"scale(NH4_mean_v)"	-0,419794032603013	0,130071384396788	-3,22741265920885	0,00155816793668238	"Across"
"CWM_LEDA_SLA"	"scale(NO3_mean_v)"	0,275568306932819	0,173456277398613	1,58869030896787	0,114402374485155	"Across"
"CWM_LEDA_SLA"	"scale(d15N_soil_mean_v)"	0,381472653430764	0,122741779536718	3,10792832620329	0,00228523967548272	"Across"
"CWM_Morpho_Root.1Order.average.diameter_mean"	"(Intercept)"	0,181898815930988	0,00146321941729303	124,314107495581	8,62041962554008e-147	"Across"
"CWM_Morpho_Root.1Order.average.diameter_mean"	"ExploratoryHAI"	0,00455444266854805	0,00211820567374452	2,15014185119088	0,0332375956222853	"Across"
"CWM_Morpho_Root.1Order.average.diameter_mean"	"ExploratorySCH"	-0,00329089046151035	0,00215258660941685	-1,52880745755539	0,128536734127092	"Across"
"CWM_Morpho_Root.1Order.average.diameter_mean"	"scale(SM_10)"	-0,0024697547590497	0,00105463955344453	-2,34179986041989	0,0205810194602724	"Across"
"CWM_Morpho_Root.1Order.average.diameter_mean"	"scale(LUI)"	-0,00185346816365013	0,000916712919892287	-2,0218632501306	0,0450688282838626	"Across"
"CWM_Morpho_Root.1Order.average.diameter_mean"	"scale(pH)"	0,0017336418884648	0,00102445681515464	1,69225472740216	0,0927905321679539	"Across"
"CWM_Morpho_Root.1Order.average.diameter_mean"	"scale(NO3_mean_v)"	-0,00276909260023301	0,0013808612197442	-2,00533736529002	0,0468272974062413	"Across"
"CWM_Morpho_Root.1Order.average.diameter_mean"	"scale(d15N_soil_mean_v)"	-0,00326401430768034	0,00112761949854918	-2,89460612545269	0,00439638421042401	"Across"
"CWM_Morpho_Root.branching.intensity_mean"	"(Intercept)"	3,14121297123374	0,0664451499752814	47,2752785177296	5,94602775615827e-88	"Across"
"CWM_Morpho_Root.branching.intensity_mean"	"ExploratoryHAI"	0,20882959316892	0,0805314561862114	2,5931431400675	0,0105204802417151	"Across"
"CWM_Morpho_Root.branching.intensity_mean"	"ExploratorySCH"	0,355791493129855	0,134385719052243	2,64753945314337	0,00903774332644808	"Across"
"CWM_Morpho_Root.branching.intensity_mean"	"scale(SM_10)"	0,110686426543878	0,0380987655052306	2,90524968659894	0,00426652638016233	"Across"
"CWM_Morpho_Root.branching.intensity_mean"	"scale(Sand_v)"	0,0898934510880302	0,0558592935243248	1,60928370941327	0,109806957689368	"Across"
"CWM_Morpho_Root.branching.intensity_mean"	"scale(pH)"	-0,0936915876040693	0,0391539452983602	-2,39290285793992	0,0180422094367162	"Across"
"CWM_Morpho_Root.branching.intensity_mean"	"scale(CN_ratio)"	-0,050443059050714	0,0355318937707306	-1,41965579927143	0,157930762916463	"Across"
"CWM_Morpho_Root.branching.intensity_mean"	"scale(NP_ratio)"	-0,0592497436287483	0,0346629837036491	-1,70930881586258	0,089609445564706	"Across"
"CWM_Morpho_Root.branching.intensity_mean"	"scale(NO3_mean_v)"	0,107538468147171	0,0517625778118677	2,07753308844127	0,0395792319568873	"Across"
"CWM_Morpho_Root.branching.intensity_mean"	"scale(d15N_soil_mean_v)"	0,133759551421218	0,0427291009417621	3,13040874891159	0,00212520200494808	"Across"
"CWM_Morpho_Root.tissue.density.Rose_mean"	"(Intercept)"	54,3247130353773	1,68813054723252	32,1803980885459	4,21431037101689e-67	"Across"
